Código 2,Producto,PUBLICO TIENDA
B-APMAC,BATERIA APPLE MAC A1369 / A1405B,6000
B-S138MM,BATERIA APPLE WATCH S1 38 MM,1890
B-S142MM,BATERIA APPLE WATCH S1 42 MM,1890
B-S238MM,BATERIA APPLE WATCH S2 38 MM,1890
B-S242MM,BATERIA APPLE WATCH S2 42 MM,1890
B-S338MM,BATERIA APPLE WATCH S3 38 MM,1890
B-S338MMG,BATERIA APPLE WATCH S3 38 MM GPS,1890
B-S338MML,BATERIA APPLE WATCH S3 38 MM LTE,1890
B-S342MM,BATERIA APPLE WATCH S3 42 MM,1890
B-S342MMG,BATERIA APPLE WATCH S3 42 MM GPS,1890
B-S342MML,BATERIA APPLE WATCH S3 42 MM LTE,1890
B-S440MM,BATERIA APPLE WATCH S4 40 MM,1890
B-S444MM,BATERIA APPLE WATCH S4 44MM,1890
B-S540MM,BATERIA APPLE WATCH S5 40 MM,1890
B-S544MM,BATERIA APPLE WATCH S5 44 MM,1890
B-GOOGLEP4XL,BATERIA GOOGLE PIXEL 4XL,1890
BAT-ACERV5431,BATERIA G-POWER ACER V5/AL12A32 4C 14.8V,1690
B-HUAG8R,BATERIA HUAWEI G8 RIO,1690
B-HUAH7S,BATERIA HUAWEI HONOR 7S,1690
B-HUAM10,BATERIA HUAWEI MATE 10 / 10 PRO / 20 (HB436486ECW),1690
B-HUAM10L,BATERIA HUAWEI MATE 10 LITE,1690
B-HUAM20,BATERIA HUAWEI MATE 20,1690
B-HUA20P,BATERIA HUAWEI MATE 20 PRO,1690
B-HUAM30L,BATERIA HUAWEI MATE 30 LITE / NOVA 5I PRO,1690
B-HUAM9,BATERIA HUAWEI MATE 9 / MATE 9 PRO,1690
B-HUAM9L,BATERIA HUAWEI MATE 9 LITE,1690
B-HUAN5I,BATERIA HUAWEI NOVA 5I /P40 LITE / NOVA 7I / Y9 PRIME,1690
B-HUAH9SE,BATERIA HUAWEI NOVA 9 SE,2900
B-HUAPS2019,BATERIA HUAWEI P SMART 2019,1690
B-HUAP10,BATERIA HUAWEI P10,1690
B-HUAP10L,BATERIA HUAWEI P10 LITE,1690
B-HUAP10P,BATERIA HUAWEI P10 PLUS / MATE 20 LITE,1690
B-HUAP20,BATERIA HUAWEI P20,1690
B-HUAP20L,BATERIA HUAWEI P20 LITE / NOVA 3E,1690
B-HUAP20P,BATERIA HUAWEI P20 PRO,1690
B-HUAP30,BATERIA HUAWEI P30,1690
B-HUAP30L,BATERIA HUAWEI P30 LITE / NOVE 4E,1690
B-HUAP30PRO,BATERIA HUAWEI P30 PRO (HB486486ECW),1690
B-HUAP8S,BATERIA HUAWEI P8 SMART / P8 LITE / Y5 2017 LITE,1690
B-HUAP9LITE,BATERIA HUAWEI P9 / P9 LITE / HB366481ECW / Y7 2018,1690
B-HUAP9LS,BATERIA HUAWEI P9 LITE SMART / MATE 20 LITE / NOVA 5T,1690
B-HUAY52018,BATERIA HUAWEI Y5 2018 / PLAY 7 / HONOR 7S,1690
B-HUAY5II,BATERIA HUAWEI Y5 II,1690
B-HUAY62019,BATERIA HUAWEI Y6 2019 / Y6 PRO 2019 / 8A,1690
B-HUAY6II,BATERIA HUAWEI Y6 II,1690
B-HUAY72018,BATERIA HUAWEI Y7 2018 /  HB366481ECW / P9 LITE,1690
B-HUAY72019,BATERIA HUAWEI Y7 2019 / Y7 PRO 2019 / NOVA LITE 3 / ENJOY 9,1690
B-HUAY7P,BATERIA HUAWEI Y7 PRIME / Y7 / Y7 2017 / NOVA LITE PLUS / NOVA LITE PLUS,1690
B-HUAY92019,BATERIA HUAWEI Y9 2019 / Y9 2018,1590
B-HUAY9P,BATERIA HUAWEI Y9 PRIME 2019 / HONOR 9X / Y9S (HB446486ECW),1690
B-IPAD1,BATERIA IPAD 1,2500
B-IPAD2,BATERIA IPAD 2,2500
B-IPAD4,BATERIA IPAD 3 / 4,3500
B-IPADP97,BATERIA IPAD 9.7 A1673,3500
B-IPADA2,BATERIA IPAD AIR 2 A1566 / IPAD 6,3500
B-IPADA,BATERIA IPAD AIR A1474 / A1475 / IPAD 7 2019 IPAD 5,3500
B-IPADM1,BATERIA IPAD MINI 1,3500
B-IPADM2,BATERIA IPAD MINI 2/3,3500
B-IPADM4,BATERIA IPAD MINI 4,3500
B-IPADP102,BATERIA IPAD PRO 10.2 / A1484,3500
B-IPADP105II,BATERIA IPAD PRO 10.5 II / IPAD AIR 3 2019,3500
B-IPADP112018,BATERIA IPAD PRO 11 2018,4500
B-IPADP112020,BATERIA IPAD PRO 11 2020,4500
B-IPADP129,BATERIA IPAD PRO 12.9 2015,4500
B-IPADP129II,BATERIA IPAD PRO 12.9 II/AIR 3 2017,4500
B-IPADP9,BATERIA IPAD PRO 9.7,3500
B-IPH11,BATERIA IPHONE 11,1990
B-IPH11P,BATERIA IPHONE 11 PRO,1990
B-IPH11PM,BATERIA IPHONE 11 PRO MAX,1990
B-IPH12P,BATERIA IPHONE 12 / 12 PRO,2500
B-IPH12M,BATERIA IPHONE 12 MINI,1990
B-IPH12PM,BATERIA IPHONE 12 PRO MAX,2500
B-IPH13,BATERIA IPHONE 13,3990
B-IPH13M,BATERIA IPHONE 13 MINI,3990
B-IPH13P,BATERIA IPHONE 13 PRO,3990
B-IPH13PM,BATERIA IPHONE 13 PRO MAX,3990
B-IPH14,BATERIA IPHONE 14,3990
B-IPH14PL,BATERIA IPHONE 14 PLUS,3990
B-IPH14P,BATERIA IPHONE 14 PRO,3990
B-IPH14PM,BATERIA IPHONE 14 PRO MAX,3990
B-IPH15,BATERIA IPHONE 15,3990
B-IPH15PL,BATERIA IPHONE 15 PLUS,3990
B-IPH15P,BATERIA IPHONE 15 PRO,3990
B-IPH15PM,BATERIA IPHONE 15 PRO MAX,4990
B-IPH5,BATERIA IPHONE 5,990
B-IPH5C,BATERIA IPHONE 5C,990
B-IPH5S,BATERIA IPHONE 5S,990
B-IPH6,BATERIA IPHONE 6,990
B-IPH6P,BATERIA IPHONE 6 PLUS,1390
B-IPH6S,BATERIA IPHONE 6S,1390
B-IPH6SP,BATERIA IPHONE 6S PLUS,1390
B-IPH7,BATERIA IPHONE 7,1390
B-IPH7P,BATERIA IPHONE 7 PLUS,1390
B-IPH8,BATERIA IPHONE 8,1590
B-IPH8P,BATERIA IPHONE 8 PLUS,1590
B-IPHSE,BATERIA IPHONE SE,1390
B-IPHSE20,BATERIA IPHONE SE 2020,1500
B-IPHSE2022,BATERIA IPHONE SE 2022,1690
B-IPHX,BATERIA IPHONE X,1690
B-IPHXR,BATERIA IPHONE XR,1990
B-IPHXS,BATERIA IPHONE XS,1990
B-IPHXSMAX,BATERIA IPHONE XS MAX,1990
B-LGK10,BATERIA LG K10,1690
B-LGK350,BATERIA LG K350,1690
B-LGQ6,BATERIA LG Q6,1690
B-MACA1278,BATERIA MACBOOK A1278 / A1322,3290
B-MACA1286,BATERIA MACBOOK A1286 / A1321 / A1382,6400
B-MACA1377,BATERIA MACBOOK A1377,3000
B-MACA1466,BATERIA MACBOOK A1405 / A1466 / A1496,3190
B-MACA1417,BATERIA MACBOOK A1417,7200
B-MACA1465,BATERIA MACBOOK A1465 / A1495,4290
B-MACA1493,BATERIA MACBOOK A1493 / A1502 / A1582,4890
B-MACA1494,BATERIA MACBOOK A1494,7200
B-MACA1527,BATERIA MACBOOK A1527 / A1534 / A1705,5790
B-MACA1706,BATERIA MACBOOK A1706 / A1819,4590
B-MACA1707,BATERIA MACBOOK A1707 / A1820,8000
B-MACA1965,BATERIA MACBOOK A1965,6400
B-MACA2159,BATERIA MACBOOK A2159 / A2171,6400
B-MOTOE32,BATERIA MOTOROLA E32 NH50,0
B-MOTHE50,BATERIA MOTOROLA E4,1390
B-MOTOE4P,BATERIA MOTOROLA E4 PLUS / E5 PLUS - XT1771,1390
B-MOTE5P,BATERIA MOTOROLA E5 PLAY JC30,1590
B-MOTOE6P,BATERIA MOTOROLA E6 PLAY,1390
B-MOTOE7P,BATERIA MOTOROLA E7 PLUS,1390
B-MOTOED30,BATERIA MOTOROLA EDGE 30,1990
B-MOTOG100,BATERIA MOTOROLA G100 (LZ50),1590
B-MOTOG4P,BATERIA MOTOROLA G4 PLAY / XT1642,1390
B-MOTOG52,BATERIA MOTOROLA G52 (NE50),1390
B-MOTOG54,BATERIA MOTOROLA G54 (PC50),1390
